Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Rick Mount,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Magic Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alex Stepheson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,396,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerry Stackhouse,496,449,#N/A,#N/A,#N/A,#N/A,304,#N/A,468,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,377,#N/A,#N/A,#N/A,#N/A,#N/A,475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,403
Steve Kuberski,#N/A,#N/A,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,241,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Matt Ryan,#N/A,#N/A,380,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,393,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Xavier McDaniel,#N/A,325,280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,302,231,#N/A,#N/A,253,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ronnie Murphy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A,#N/A
Eugene Jeter,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,#N/A,#N/A,#N/A,#N/A
John Lambert,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,265,231,#N/A,#N/A,#N/A
Matt Thomas,#N/A,#N/A,#N/A,#N/A,354,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,231,296,#N/A
George Kaftan,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,251,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jeff Sanders,458,#N/A,#N/A,232,314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sam Lacey,#N/A,284,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,263,#N/A,#N/A,#N/A,#N/A
Marcus Liberty,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,284,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chris Mullin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,345,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ron Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,240,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jarnell Stokes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nik Stauskas,#N/A,450,413,#N/A,#N/A,373,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,476,#N/A,311,442,#N/A,#N/A,#N/A,#N/A
Dario Šarić,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,298,#N/A,430,332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim McDaniels,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,276,298,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Horacio Llamas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jason Thompson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,482,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,465,#N/A,232,#N/A,#N/A
Darren Morningstar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A
Tony Kappen,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Steve Scheffler,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,328,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,300,#N/A,#N/A,#N/A,#N/A,419,#N/A,#N/A,#N/A,#N/A
Jack Marin,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,244,#N/A,261,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,265
Bill Laimbeer,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Charles Jenkins,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Troy Murphy,#N/A,354,308,#N/A,#N/A,#N/A,242,#N/A,#N/A,349,#N/A,233,#N/A,326,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vladimir Stepania,#N/A,451,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,329,#N/A,#N/A,#N/A,313,#N/A,#N/A,#N/A,#N/A,#N/A
Jonathon Simmons,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,453,#N/A,#N/A,#N/A,364,#N/A,#N/A,#N/A
Ian Lockhart,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dorie Murrey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,249,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A,299
Arnie Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233,#N/A,#N/A,#N/A,#N/A
Gary Trent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,319,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,261,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,332,#N/A,#N/A,233,#N/A,#N/A
Chris Morris,#N/A,346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,273,#N/A,#N/A,#N/A,#N/A,233,#N/A
Tom Hovasse,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerry Kelly,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ramon Sessions,#N/A,#N/A,#N/A,234,#N/A,351,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,408,#N/A,#N/A,360,236,#N/A,422,#N/A,#N/A,#N/A,#N/A,#N/A,421,#N/A,#N/A,#N/A,383
Loren Meyer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,261,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,264,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Willie Long,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Horace Jenkins,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keith Jennings,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lewis Lloyd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,294,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bo Kimble,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,255,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Erick Strickland,#N/A,#N/A,417,#N/A,#N/A,#N/A,308,#N/A,#N/A,#N/A,#N/A,319,#N/A,#N/A,234,#N/A,383,#N/A,#N/A,455,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malik Sealy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,445,#N/A,#N/A,299,373,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mitch McGary,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Miles Simon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keith Langford,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234,#N/A,#N/A,#N/A
Gary Trent Jr.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,333,#N/A,#N/A,234,#N/A,#N/A
Emmanuel Mudiay,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,330,#N/A,#N/A,#N/A,#N/A,#N/A,331,#N/A,#N/A,234,#N/A
Tom Kozelko,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,234
Tom Kelly,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Charles Shackleford,#N/A,424,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,442,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyler Lydon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Calvin Natt,#N/A,363,#N/A,#N/A,#N/A,#N/A,#N/A,280,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,289,#N/A,#N/A,#N/A
Stromile Swift,#N/A,456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,361,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,359,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amar'e Stoudemire,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,307,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,454,#N/A,#N/A,#N/A,356,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brad Sellers,#N/A,#N/A,#N/A,#N/A,321,#N/A,#N/A,#N/A,446,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,307,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Phil Jackson,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim McIlvaine,#N/A,329,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,278
Scott Skiles,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,304,#N/A,#N/A,#N/A,#N/A,364,#N/A,#N/A,#N/A,#N/A,235,456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,391
Romeo Langford,#N/A,#N/A,254,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,#N/A,#N/A
P.J. Tucker,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,384,#N/A,#N/A,#N/A,#N/A,245,400,#N/A,#N/A,#N/A,#N/A,#N/A,497,383,#N/A,#N/A,#N/A,235,#N/A,#N/A
Chris Munk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A
Jerry Sichting,#N/A,#N/A,398,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,301,#N/A,#N/A,#N/A,#N/A,361,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,296,#N/A,#N/A,#N/A,#N/A,#N/A
Kenny Natt,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,337,#N/A,#N/A,239,#N/A
Kerry Kittles,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darius Johnson-Odom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,248,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Marquis Teague,#N/A,463,#N/A,#N/A,346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mark Strickland,504,454,#N/A,#N/A,#N/A,#N/A,309,348,#N/A,#N/A,#N/A,320,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gene James,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kenny McIntosh,#N/A,#N/A,#N/A,#N/A,244,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nicolás Laprovíttola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A,#N/A,#N/A
Hedo Türkoğlu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,418,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,255,#N/A,384,#N/A,477,396,236,#N/A,#N/A
Mitch Kupchak,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,264,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236
Trajan Langdon,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tracy Moore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,348,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
R.B. Lynam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andrew Nembhard,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Howie Jolliff,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Roko Ukić,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,406,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A
Kevin Murphy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A
Kyle Kuzma,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237
Isaac Humphries,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sean Singletary,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,347,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wes Matthews,330,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,290,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,312,#N/A,#N/A,#N/A,261,#N/A,#N/A,269
Butch Lee,290,#N/A,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lonnie Lynn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aaron Nesmith,#N/A,#N/A,314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
